"color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","genres","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","plot_keywords","movie_imdb_link","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"Color","Álex de la Iglesia",71,104,275,102,"Leonor Watling",439,3607,"Crime|Mystery|Thriller","Jim Carter","The Oxford Murders ",22753,940,"Danny Sapani",4,"landlady|lecture|murder|oxford university|symbol","http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1",94,"English","Spain","R",1e+07,2008,161,6.1,2.35,0
"Color","John Woo",155,138,610,805,"CCH Pounder",12000,112225777,"Action|Crime|Sci-Fi|Thriller","Nicolas Cage","Face/Off ",283967,17087,"Joan Allen",0,"death of child|face|face transplant|prison|terrorist","http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1",535,"English","USA","R",8e+07,1997,1000,7.3,2.35,11000
"Color","Seth MacFarlane",280,125,3000,3000,"Morgan Freeman",14000,81257500,"Comedy","Liam Neeson","Ted 2 ",117739,30010,"Seth MacFarlane",0,"baby|f word|fight|lawyer|marriage","http://www.imdb.com/title/tt2637276/?ref_=fn_tt_tt_1",229,"English","USA","R",6.8e+07,2015,11000,6.4,2.35,30000
"Color","Brandon Cronenberg",188,108,43,463,"Douglas Smith",691,NA,"Horror|Sci-Fi|Thriller","Sarah Gadon","Antiviral ",9356,1962,"Caleb Landry Jones",0,"celebrity|injection|near future|scalpel|stabbed in the mouth","http://www.imdb.com/title/tt2099556/?ref_=fn_tt_tt_1",47,"English","Canada","Not Rated",3200000,2012,480,5.7,1.85,0
"Color","Malcolm D. Lee",81,86,92,466,"Eddie Griffin",744,38230435,"Action|Comedy","Dave Chappelle","Undercover Brother ",29661,3001,"Chi McBride",3,"african american|cadillac|disguise|secret agent|undercover","http://www.imdb.com/title/tt0279493/?ref_=fn_tt_tt_1",179,"English","USA","PG-13",2.5e+07,2002,489,5.8,1.85,0
"Color","Jason Reitman",387,96,655,973,"Jennifer Garner",24000,143492840,"Comedy|Drama|Romance","J.K. Simmons","Juno ",414345,28817,"Rainn Wilson",0,"adoption|baby|friend|pregnancy|school","http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1",881,"English","USA","PG-13",7500000,2007,3000,7.5,1.85,10000
"Color","Michael Polish",60,103,35,482,"Anthony Edwards",548,1420578,"Drama|Fantasy","Peter Coyote","Northfork ",4894,2389,"Jon Gries",0,"boy|caretaker|dam|evacuation|orphanage","http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1",122,"English","USA","PG-13",1900000,2003,495,6.4,2.35,298
"Color","Stephen Daldry",299,124,335,50,"David Kross",14000,34180954,"Drama|Romance","Kate Winslet","The Reader ",189812,14504,"Susanne Lothar",0,"love|reading|teaching oneself to read|trial|war crime","http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1",370,"English","USA","R",3.2e+07,2008,388,7.6,1.85,15000
"Color","Whit Stillman",71,98,89,3,"Taylor Nichols",88,2938208,"Comedy|Drama|Romance","Chris Eigeman","Metropolitan ",7143,173,"Ellia Thompson",1,"apartment|dancing|debutante|new york|upper class","http://www.imdb.com/title/tt0100142/?ref_=fn_tt_tt_1",52,"English","USA","PG-13",225000,1990,74,7.5,1.66,865
"Color","Robert Zemeckis",449,138,0,874,"Bruce Greenwood",18000,93749203,"Drama|Thriller","Denzel Washington","Flight ",264047,20952,"Nadine Velazquez",0,"airline|flight|flight attendant|lawyer|pilot","http://www.imdb.com/title/tt1907668/?ref_=fn_tt_tt_1",491,"English","USA","R",3.1e+07,2012,984,7.3,2.35,64000
"Color","David Soren",166,96,13,463,"Snoop Dogg",16000,83024900,"Adventure|Animation|Comedy|Family|Sport","Ryan Reynolds","Turbo ",62424,17416,"Ben Schwartz",0,"accident|freak accident|race|snail|underdog","http://www.imdb.com/title/tt1860353/?ref_=fn_tt_tt_1",90,"English","USA","PG",1.35e+08,2013,881,6.5,2.35,13000
"Color","Donald Petrie",49,94,80,230,"Ray Walston",1000,36830057,"Comedy|Family|Sci-Fi","Steven Anthony Lawrence","My Favorite Martian ",10883,2151,"Michael Lerner",2,"alien|hidden camera|martian|reporter|spaceship","http://www.imdb.com/title/tt0120764/?ref_=fn_tt_tt_1",73,"English","USA","PG",6.5e+07,1999,417,4.9,1.85,448
"Color","Tyler Perry",44,103,0,543,"Keshia Knight Pulliam",923,90485233,"Comedy|Crime|Drama","Vanessa Ferlito","Madea Goes to Jail ",9544,3699,"Derek Luke",0,"adaptation directed by original author|cross dressing|madea series|remake|sequel","http://www.imdb.com/title/tt1142800/?ref_=fn_tt_tt_1",45,"English","USA","PG-13",NA,2009,619,4.1,1.85,804
"Color","David Raynr",16,94,9,200,"Deon Richmond",927,9016377,"Comedy","Donald Faison","Trippin' ",1004,1936,"Countess Vaughn",3,"apostrophe in title|bare breasts|female nudity|nude black woman|prom","http://www.imdb.com/title/tt0160298/?ref_=fn_tt_tt_1",8,"English","USA","R",NA,1999,209,5.2,1.85,143
"Color","P.J. Hogan",84,105,29,692,"Christopher Masterson",8000,126805112,"Comedy|Romance","Julia Roberts","My Best Friend's Wedding ",98199,12344,"Rupert Everett",1,"best friend|chick flick|male female friendship|promise|wedding","http://www.imdb.com/title/tt0119738/?ref_=fn_tt_tt_1",169,"English","USA","PG-13",4.6e+07,1997,1000,6.3,2.35,0
"Color","Don Scardino",260,100,35,7000,"Olivia Wilde",12000,22525921,"Comedy","Steve Buscemi","The Incredible Burt Wonderstone ",60596,32094,"Steve Carell",4,"magic|magic kit|magician|stage magician|vegas","http://www.imdb.com/title/tt0790628/?ref_=fn_tt_tt_1",158,"English","USA","PG-13",3e+07,2013,10000,5.9,2.35,13000
"Color","Ritesh Batra",195,104,25,73,"Nimrat Kaur",638,4231500,"Drama|Romance","Nawazuddin Siddiqui","The Lunchbox ",30479,822,"Lillete Dubey",2,"delivery|delivery to wrong address|lunchbox|open ended|unconventional romance","http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1",162,"Hindi","India","PG",1e+06,2013,85,7.8,2.35,16000
"Color","Tim Burton",230,119,13000,567,"Estella Warren",1000,180011740,"Action|Adventure|Sci-Fi|Thriller","Cary-Hiroyuki Tagawa","Planet of the Apes ",177725,2776,"Erick Avari",0,"astronaut|cage|planet|wilhelm scream|year 2029","http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1",1368,"English","USA","PG-13",1e+08,2001,658,5.7,2.35,0
"Color","F. Gary Gray",216,118,473,963,"Leslie Bibb",18000,73343413,"Crime|Drama|Thriller","Gerard Butler","Law Abiding Citizen ",217480,22517,"Michael Kelly",0,"attorney|deal|district attorney|investigation|justice","http://www.imdb.com/title/tt1197624/?ref_=fn_tt_tt_1",429,"English","USA","R",5e+07,2009,1000,7.4,2.35,21000
"Color","Steve Taylor",38,108,14,274,"Marshall Allman",1000,594904,"Comedy|Drama","Jason Marsden","Blue Like Jazz ",2582,1805,"Eric Lange",0,"church|college|color in title|philosophy|texas","http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1",89,"English","USA","PG-13",1200000,2012,330,6,1.85,0
"Color","Michael Winterbottom",71,115,187,887,"Sarah Polley",14000,403932,"Drama|Romance|Western","Milla Jovovich","The Claim ",5254,17104,"Shirley Henderson",4,"gold|gold mine|miner|railroad|surveyor","http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1",92,"English","UK","R",2e+07,2000,900,6.5,2.35,141
"Color","Anthony Bell",84,90,0,518,"Larry Miller",681,25077977,"Adventure|Animation|Comedy|Family|Romance","Kevin Sussman","Alpha and Omega ",10986,2486,"Christine Lakin",0,"arranged marriage|geese|idaho|national park|park","http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1",84,"English","USA","PG",2e+07,2010,611,5.3,1.85,0
"Color","Patrick Lussier",62,99,71,126,"Craig Fairbrass",298,NA,"Drama|Fantasy|Horror|Thriller","Teryl Rothery","White Noise 2: The Light ",11285,934,"Adrian Holmes",0,"angry spirit|aura|electronic voice phenomena|electronics|near death experience","http://www.imdb.com/title/tt0496436/?ref_=fn_tt_tt_1",82,"English","USA","PG-13",1e+07,2007,258,5.7,2.35,509
" Black and White","Martin Scorsese",151,121,17000,356,"Cathy Moriarty",22000,45250,"Biography|Drama|Sport","Robert De Niro","Raging Bull ",235133,23008,"Frank Vincent",1,"boxing|domestic violence|hot temper|jealousy|rage","http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1",494,"English","USA","R",1.8e+07,1980,394,8.3,1.85,0
"Color","Michael Mann",261,133,0,301,"Archie Kao",26000,7097125,"Action|Crime|Drama|Mystery|Thriller","Chris Hemsworth","Blackhat ",38983,28129,"Brandon Molale",1,"chinese|computer|cybercrime|hacker|one word title","http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1",207,"English","USA","R",7e+07,2015,326,5.4,2.35,11000
"Color","Gerard Johnstone",166,107,3,28,"Bruce Hopkins",61,NA,"Comedy|Horror|Mystery","Morgana O'Reilly","Housebound ",23323,165,"Cameron Rhodes",3,"bloody violence|exploding head|haunted house|plot twist|slapstick","http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1",83,"English","New Zealand","Not Rated",350000,2014,46,6.8,2.35,10000
"Color","Steven Soderbergh",58,100,0,65,"Laura San Giacomo",828,24741700,"Drama","Peter Gallagher","Sex, Lies, and Videotape ",37785,1431,"Steven Brill",2,"affair|interview|marriage|sex|videotape","http://www.imdb.com/title/tt0098724/?ref_=fn_tt_tt_1",95,"English","USA","R",1200000,1989,531,7.2,1.85,2000
"Color","Philip Zlotorynski",14,80,0,19,"Darren Keefe Reiher",231,NA,"Comedy","Neil Hopkins","My Big Fat Independent Movie ",1257,313,"David Douglas",1,"independent film|spoof","http://www.imdb.com/title/tt0385890/?ref_=fn_tt_tt_1",24,"English","USA","R",3e+06,2005,27,3.3,1.78,48
"Color","Jake Kasdan",81,116,52,102,"Ryan O'Neal",624,1980338,"Comedy|Crime|Drama|Mystery|Thriller","Kim Dickens","Zero Effect ",12366,1209,"Angela Featherstone",2,"blackmail|client|private detective|private investigator|tycoon","http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1",151,"English","USA","R",5e+06,1998,385,7,1.85,507
"Color","Robert Butler",44,100,0,745,"Lauren Holly",995,11466088,"Action|Thriller","Hector Elizondo","Turbulence ",8983,3952,"Jeffrey DeMunn",0,"airplane|christmas|marshal|pilot|u.s. marshal","http://www.imdb.com/title/tt0120390/?ref_=fn_tt_tt_1",84,"English","USA","R",7.1e+07,1997,879,4.7,2.35,316
"Color","Lana Wachowski",284,135,0,87,"Kick Gurry",690,43929341,"Action|Family|Sport","Scott Porter","Speed Racer ",57873,902,"Nicholas Elia",0,"based on anime|based on cartoon|gadget car|racer|speed","http://www.imdb.com/title/tt0811080/?ref_=fn_tt_tt_1",414,"English","USA","PG",1.2e+08,2008,107,6.1,2.35,0
"Color","Rob Cohen",60,103,357,40,"Brian Thompson",2000,51317350,"Action|Adventure|Fantasy","Dennis Quaid","DragonHeart ",78343,2710,"Terry O'Neill",0,"dragon|england|human dragon relationship|king|knight","http://www.imdb.com/title/tt0116136/?ref_=fn_tt_tt_1",139,"English","USA","PG-13",5.7e+07,1996,663,6.4,2.35,0
"Color","Tom Shadyac",117,104,293,256,"Susanna Thompson",780,30063805,"Drama|Fantasy|Mystery|Romance|Thriller","Joe Morton","Dragonfly ",31788,2109,"Matt Craven",0,"death|doctor|grave|patient|venezuela","http://www.imdb.com/title/tt0259288/?ref_=fn_tt_tt_1",243,"English","USA","PG-13",6e+07,2002,265,6.1,2.35,0
"Color","Hsiao-Hsien Hou",205,105,141,56,"Chen Chang",1000,613556,"Action|Drama","Qi Shu","The Assassin ",9427,1172,"Satoshi Tsumabuki",1,"black magic|china|love|refusal to kill|wuxia","http://www.imdb.com/title/tt3508840/?ref_=fn_tt_tt_1",87,"Mandarin","Taiwan","Not Rated",1.5e+07,2015,103,6.4,1.37,0
"Color","Barry Levinson",132,123,272,193,"Brían F. O'Byrne",13000,41523271,"Comedy|Crime|Drama|Romance","Bruce Willis","Bandits ",57038,13934,"Azura Skye",2,"bank manager|hypochondriac|love triangle|prison|television","http://www.imdb.com/title/tt0219965/?ref_=fn_tt_tt_1",261,"English","USA","PG-13",8e+07,2001,450,6.6,2.35,0
"Color","Leonard Nimoy",110,105,12000,643,"Nichelle Nichols",12000,76400000,"Action|Adventure|Sci-Fi","Leonard Nimoy","Star Trek III: The Search for Spock ",58743,14762,"Walter Koenig",1,"dying planet|planet|regaining one's memory|sacrifice|stabbed to death","http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1",192,"English","USA","PG",1.7e+07,1984,664,6.6,2.35,0
"Color","Christine Jeffs",195,91,19,260,"Mary Lynn Rajskub",968,12055108,"Comedy|Drama","Clifton Collins Jr.","Sunshine Cleaning ",61151,2528,"Paul Dooley",0,"business|crime scene cleanup|private school|school|sister sister relationship","http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1",134,"English","USA","R",8e+06,2008,934,6.9,2.35,0
"Color","Lance McDaniel",NA,90,0,271,"Steven Michael Quezada",595,NA,"Action|Drama|Thriller","Russell Wong","Light from the Darkroom ",6,1754,"Lymari Nadal",0,"china|faith|panama|photography|suspense","http://www.imdb.com/title/tt3130704/?ref_=fn_tt_tt_1",1,"English","USA","PG-13",6e+05,2014,412,8,NA,9
"Color","Tim Burton",109,92,13000,217,"Jeffrey Jones",925,73326666,"Comedy|Fantasy","Catherine O'Hara","Beetlejuice ",189413,1953,"Glenn Shadix",3,"attic|ghost|surrealism|teenage girl|yuppie","http://www.imdb.com/title/tt0094721/?ref_=fn_tt_tt_1",306,"English","USA","PG",1.5e+07,1988,692,7.5,1.85,15000
"Color","Justin Lin",51,98,681,13,"Jason Tobin",94,3799339,"Crime|Drama|Romance","Parry Shen","Better Luck Tomorrow ",8000,139,"Collin Kahey",1,"asian american|high school|overachiever|pubic hair|vomiting","http://www.imdb.com/title/tt0280477/?ref_=fn_tt_tt_1",138,"English","USA","R",250000,2002,26,7.2,1.85,661
"Color","Salvador Carrasco",39,106,22,10,"Zaide Silvia Gutiérrez",174,886410,"Drama|History","Elpidia Carrillo","La otra conquista ",1024,222,"Damián Delgado",0,"1520s|aztec|indian|spanish colonization|spanish conquest","http://www.imdb.com/title/tt0175996/?ref_=fn_tt_tt_1",494,"Spanish","Mexico","R",3500000,1998,16,6.8,1.85,140
"Color","Tim Burton",186,126,13000,488,"Jack Palance",920,251188924,"Action|Adventure","Michael Gough","Batman ",269033,2725,"William Hootkins",0,"city|dc comics|gotham|pantyhose|police","http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1",817,"English","USA","PG-13",3.5e+07,1989,549,7.6,1.85,12000
"Color","Tim Hill",77,86,25,265,"Roger Rees",13000,28424210,"Animation|Comedy|Family|Fantasy","Bill Murray","Garfield 2 ",27517,14918,"Ben Falcone",0,"cat|england|lti txii|peugeot 206|rover 3 5 litre.coupe p5b","http://www.imdb.com/title/tt0455499/?ref_=fn_tt_tt_1",74,"English","UK","PG",NA,2006,1000,5,1.85,470
" Black and White","Penny Marshall",41,128,545,251,"Lori Petty",15000,107458785,"Comedy|Drama|Sport","Tom Hanks","A League of Their Own ",71754,16751,"Rosie O'Donnell",3,"baseball|friend|oregon|rivalry|softball","http://www.imdb.com/title/tt0104694/?ref_=fn_tt_tt_1",166,"English","USA","PG",4e+07,1992,923,7.2,2.35,0
"Color","Emilio Estevez",195,112,0,383,"Nick Cannon",12000,11204499,"Drama|History","Anthony Hopkins","Bobby ",38142,13528,"Brian Geraghty",0,"campaign|chess|friend|hotel|senator","http://www.imdb.com/title/tt0308055/?ref_=fn_tt_tt_1",270,"English","USA","R",1.4e+07,2006,593,7,2.35,0
"Color","Brad Bird",162,90,663,521,"Harry Connick Jr.",14000,23159305,"Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi","Vin Diesel","The Iron Giant ",128455,16358,"M. Emmet Walsh",1,"boy|friend|government agent|maine|robot","http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1",514,"English","USA","PG",7e+07,1999,631,8,2.35,0
"Color","J.A. Bayona",300,105,171,143,"Belén Rueda",382,7159147,"Drama|Mystery|Thriller","Geraldine Chaplin","The Orphanage ",120189,954,"Fernando Cayo",0,"dead children|ghost|missing child|orphan|orphanage","http://www.imdb.com/title/tt0464141/?ref_=fn_tt_tt_1",308,"Spanish","Spain","R",3400000,2007,273,7.5,2.35,11000
"Color","John Frankenheimer",126,124,287,475,"James Frain",9000,23360779,"Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller","Charlize Theron","Reindeer Games ",31113,10838,"Clarence Williams III",0,"casino|christmas|christmas season|girlfriend|release from prison","http://www.imdb.com/title/tt0184858/?ref_=fn_tt_tt_1",212,"English","USA","R",3.4e+07,2000,1000,5.7,2.35,852
"Color","Sam Peckinpah",54,106,541,372,"Bob Dylan",773,NA,"Biography|Drama|Romance|Western","James Coburn","Pat Garrett & Billy the Kid ",13467,2409,"Jason Robards",0,"bare breasts|flogging|human branding|man slaps a woman|manhunt","http://www.imdb.com/title/tt0070518/?ref_=fn_tt_tt_1",106,"English","USA","R",4638783,1973,476,7.4,2.35,0
"Color","Bo Welch",109,82,34,434,"Kelly Preston",760,100446895,"Adventure|Comedy|Family|Fantasy","Sean Hayes","The Cat in the Hat ",36033,2762,"Spencer Breslin",1,"based on cult comic book|cat|home alone|imagination|talking cat","http://www.imdb.com/title/tt0312528/?ref_=fn_tt_tt_1",456,"English","USA","PG",1.09e+08,2003,743,3.8,1.85,946
"Color","Colin Minihan",116,92,6,103,"Sean Rogerson",253,NA,"Horror","Mackenzie Gray","Grave Encounters ",40380,762,"Ashleigh Gryzko",0,"ghost|ghost hunting|labyrinth|paranormal|reality show","http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1",235,"English","Canada","Not Rated",1e+05,2011,113,6.1,1.78,0
"Color","Bruce Paltrow",65,112,28,215,"Marian Seldes",555,4734235,"Comedy|Drama|Music","Lochlyn Munro","Duets ",8217,1227,"Huey Lewis",0,"convict|karaoke|middle america|salesman|singer","http://www.imdb.com/title/tt0134630/?ref_=fn_tt_tt_1",123,"English","USA","R",1.5e+07,2000,403,6,1.85,573
"Color","Ernie Barbarash",29,103,249,261,"Michael J. Morris",2000,8691,"Action|Adventure","Michael Jai White","Falcon Rising ",4952,3089,"Lateef Crowder",1,"","http://www.imdb.com/title/tt2295722/?ref_=fn_tt_tt_1",32,"English","USA","R",4500000,2014,298,5.8,NA,0
"Color","David R. Ellis",285,105,160,490,"Kenan Thompson",852,34014398,"Action|Adventure|Crime|Drama|Thriller","Lin Shaye","Snakes on a Plane ",115650,2603,"Rachel Blanchard",0,"baby rattle|famous line|murder|passenger|snake","http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1",1033,"English","Germany","R",3.3e+07,2006,521,5.6,2.35,4000
"Color","Chris D'Arienzo",34,95,7,463,"Cybill Shepherd",2000,NA,"Comedy|Drama|Romance","Judy Greer","Barry Munday ",3443,3648,"Shea Whigham",2,"doctor|letter|paternity|sex|testicles","http://www.imdb.com/title/tt0482461/?ref_=fn_tt_tt_1",20,"English","USA","R",NA,2010,536,5.9,1.85,480
"Color","Daniel Davila",5,95,0,167,"Melora Walters",940,NA,"Drama","Martin Landau","Harrison Montgomery ",59,1484,"Diane Baker",2,"abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco","http://www.imdb.com/title/tt0870118/?ref_=fn_tt_tt_1",1,"English","USA","",850000,2008,188,7.4,1.78,18
"Color","Will Finn",51,88,6,854,"Oliver Platt",2000,8460990,"Adventure|Animation|Family|Fantasy|Musical","Lea Michele","Legends of Oz: Dorothy's Return ",5116,6946,"Jim Belushi",1,"jester|kansas|oz|princess|tornado","http://www.imdb.com/title/tt0884726/?ref_=fn_tt_tt_1",54,"English","USA","PG",7e+07,2013,1000,5.6,NA,5000
